NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units
155,37.2,463,0.64,8,9657,86913,37,91,7.3,3.37,0.18,11,119,0.8,1036,82,849,1830,20,1.12,14,0.24,3,0.8,7,0.39,4,1.05,0,0
156,29.7,332,0.18,2,8988,89881,24,80,7.2,0,0,36,454,1.1,1253,97,1221,1904,15,2.6,29,1.43,16,1.8,22,0.72,9,1.08,73,915
157,6.7,38,2.1,12,19723,2859811,54,187,32.7,-1,-1,0,0,0.5,288,65,188,1127,71,0.17,1,1.57,9,0,0,5.21,15,1.29,100,288
158,6.7,83,1.14,14,69609,2784350,36,263,21.4,41.83,1.69,0,0,1.1,1288,100,1288,1376,26,1.22,15,1.14,14,1,13,1.09,14,1.1,65,837
159,28.5,139,0.82,4,3650,51099,46,59,12.1,0,0,0,0,0.8,397,77,305,1078,44,1.02,5,1.84,9,0.4,1,4.79,19,1.25,100,397
160,7,54,0.9,7,19162,862300,33,124,16,0,0,0,0,1.4,1106,80,880,1318,38,0,0,2.06,16,0.8,7,2.53,28,1.13,100,1106
161,2.9,9,1.7,5,26569,132845,33,66,22.4,100,2.01,0,0,3.9,1134,8,94,3749,30,4.42,13,4.08,12,0,0,2.12,24,1.13,93,1054
162,4.9,18,0.82,3,7802,187239,39,59,16,-1,-1,47,330,1.9,696,100,696,1303,32,0,0,1.9,7,0.9,6,0.72,5,1.08,100,696
163,11.7,20,14.93,26,10288,678989,44,60,34.5,-1,-1,100,528,3,528,42,219,1621,64,12.06,21,8.61,15,0,0,0.19,1,1.44,100,528
164,1.5,10,6.08,39,10752,720370,40,163,25.4,100,1.14,69,1225,2.8,1766,27,480,1408,58,0.31,2,2.81,18,1.4,6,5.27,93,1.27,100,1766
165,11.8,21,1.66,3,16110,225546,28,48,26.6,-1,-1,87,791,5,911,28,254,1559,20,0,0,1.66,3,1.2,3,1.43,13,1.05,99,903
166,12.3,19,1.32,2,14778,103444,26,38,25.1,-1,-1,84,452,3.6,537,21,110,1727,37,0,0,0,0,1.2,4,0.37,2,1.14,100,537
167,33.9,62,0,0,27604,220830,26,38,20.7,-1,-1,72,260,2,359,28,99,1729,34,0.54,1,0.54,1,0,0,0.28,1,1,100,359
168,0.5,1,0.44,1,93824,187647,38,48,21,-1,-1,16,101,2.8,634,71,450,1277,45,0.44,1,3.07,7,1.4,9,1.58,10,1.17,100,634
169,5.2,13,0.82,2,-1,-1,-1,62,25.3,0,0,1,11,3.5,857,50,426,2935,12,0,0,4.09,10,0.4,3,0.12,1,1.14,0,0
170,10.5,50,2.1,10,33581,134325,11,89,18.7,-1,-1,34,215,1.3,631,71,448,2967,17,0.63,3,2.1,10,0,0,0,0,1.11,0,0
171,1.5,4,5.94,17,36870,737392,16,96,33.5,-1,-1,83,367,1.5,442,42,186,2974,22,0,0,1.05,3,0,0,0,0,1.09,84,372
172,4.4,41,0.74,7,30728,583834,15,142,15.1,0,0,38,430,1.2,1137,53,601,3053,10,0.64,6,0.96,9,0,0,0,0,1.31,53,602
173,22.8,87,0.26,1,37099,296793,47,69,18.2,-1,-1,18,74,1.1,417,82,341,1325,24,0.26,1,1.05,4,1.2,5,2.4,10,1.05,100,417
174,48.6,1545,1.64,52,45398,2496870,20,256,8.1,29.23,2.33,29,181,0.2,627,92,576,1781,31,0.03,1,0.09,3,0.5,3,0,0,1.14,28,177
175,3.9,21,0,0,-1,-1,-1,64,12.3,100,1.28,0,0,1.3,688,100,686,2481,36,0.77,4,5.56,29,0,0,0.58,4,1.09,1,8
176,2.1,10,0.21,1,1615,3229,16,89,19,0,0,28,326,2.5,1163,84,972,2482,20,0.43,2,4.27,20,0.2,2,0.26,3,1.11,29,343
177,1.5,7,0.2,1,468,468,33,77,15.2,56.59,2.49,23,184,1.6,792,73,578,2763,35,1.18,6,5.72,29,0.1,1,0.13,1,1.1,98,780
178,16.9,343,2.91,59,54678,5850572,23,378,18.7,53.2,2.99,22,287,0.6,1311,13,167,1549,47,10.92,221,0.64,13,0,0,0.31,4,1.2,78,1025
179,3.9,19,1,5,6559,45911,40,91,18.1,100,1.69,24,158,1.3,660,96,635,2526,50,1.79,9,9.37,47,0.2,1,0.15,1,1.16,72,478
180,12.4,37,4.01,12,12568,377042,38,65,21.7,100,0.12,4,22,1.7,520,100,520,1491,32,0,0,2,6,0.9,4,2.12,11,1.11,92,476
181,2.7,28,0.59,6,24750,148502,21,167,16.4,100,5.19,45,574,1.2,1267,55,690,3390,27,0,0,3.33,34,0.4,4,0.16,2,1.07,70,892
182,5.9,13,9.64,21,28762,345143,37,40,18.4,-1,-1,0,0,1.2,268,82,219,1215,30,0,0,2.75,6,0.5,1,2.99,8,1.26,100,268
183,19.3,43,0,0,8562,25686,26,38,17,-1,-1,16,57,1.6,350,49,172,1488,42,0,0,0.9,2,0,0,2,7,1,98,342
184,1.8,4,0.43,1,8955,53732,60,37,15.8,100,1.16,85,586,2.9,689,100,689,1474,61,7.27,17,18.38,43,0.2,1,0.15,1,1.36,100,689
185,6.9,9,58.95,77,13467,228931,28,61,46.7,-1,-1,100,1367,10.4,1367,0,1,-1,-1,0,0,0,0,-1,-1,0.37,5,1.03,100,1367
186,8.8,56,0.63,4,49514,396110,28,99,15.6,46.72,3.13,34,280,1.3,828,98,811,1469,31,0.47,3,1.73,11,1.6,13,0.72,6,1.07,73,602
187,0.9,1,1.9,3,52182,156547,6,44,27.9,-1,-1,77,312,2.6,405,77,310,2726,17,0,0,4.43,7,0,0,0,0,1.07,0,0
188,9,32,0,0,8041,16081,16,48,13.2,-1,-1,69,508,2,732,44,324,2829,21,11.01,40,2.75,10,0,0,0.14,1,1.15,0,0
189,0,0,3.65,3,4591,9181,18,20,24.4,100,0.2,88,400,5.5,453,12,53,4185,17,0,0,3.65,3,0,0,0.44,2,1.05,100,453
190,11.8,78,1.2,8,26390,1055602,41,103,15.5,-1,-1,0,0,0.6,382,99,379,1087,32,0.45,3,0,0,0.8,3,3.14,12,1.19,100,382
191,10,43,0,0,6038,30189,31,54,12.7,44.95,1.47,54,514,2.2,945,63,599,2008,23,0,0,2.36,10,0.5,4,0.11,1,1.07,23,216
192,23.8,331,1.44,20,16842,707355,21,172,12.4,0,0,0,0,0.7,1030,61,631,2534,14,5.61,78,1.15,16,0.6,4,0,0,1.18,85,873
193,1.4,4,2.29,7,17761,426274,42,82,26.9,37.59,1.09,64,365,1.9,567,61,344,2758,49,0.66,2,10.16,31,0.2,1,0.53,3,1.19,100,567
194,3.9,29,0.81,6,11586,104277,24,119,16.2,56.46,2.01,23,231,1.4,1014,74,748,3962,24,5.7,42,6.79,50,0.1,1,0,0,1.05,71,723
195,44.5,483,0,0,2364,7093,16,68,6.3,0,0,0,0,0.8,851,50,429,2565,15,0.28,3,0.92,10,0.3,2,0,0,1.15,0,0
196,12.6,121,0.62,6,10734,85874,43,71,7.4,0,0,41,300,0.8,738,71,521,1976,19,0.31,3,0.62,6,2.2,16,0.68,5,1.14,87,640
197,6.8,22,0.94,3,3269,3269,23,54,17,0,0,0,3,3.1,993,43,431,1827,35,0,0,1.26,4,1.1,7,1.01,10,1.13,88,871
198,7.1,23,0.31,1,5021,15063,38,50,15.7,36.99,1.18,0,0,2.6,816,44,357,2838,38,1.25,4,5.32,17,0,0,0.12,1,1.09,100,816
199,13.3,51,4.17,16,41048,1354568,33,122,31.8,-1,-1,0,0,3.4,1296,23,297,1576,12,0,0,2.87,11,2.1,8,5.63,73,1.16,100,1296
200,5.1,5,10.03,9,25845,387678,49,41,45.7,100,0.68,0,0,2.7,240,0,0,-1,-1,0,0,0,0,0,0,0.42,1,1.18,100,240
201,3.4,28,0,0,1940,13577,30,129,15.7,92.94,3.95,24,281,1.4,1153,57,659,4072,22,1.82,15,5.23,43,0.1,1,0.09,1,1.11,96,1104
202,1.8,5,0.78,2,27563,82688,34,56,21.9,100,1.94,4,32,2.8,713,63,447,1477,36,0,0,3.13,8,1.4,6,1.12,8,1,99,705
203,36.8,192,0.38,2,462,462,15,44,8.4,0,0,0,0,1.3,676,82,556,2260,16,8.45,44,1.34,7,0.6,4,0,0,1.16,0,0
204,13,32,7.19,18,39296,550148,10,81,32.4,100,0.98,99,614,2.5,618,59,363,2162,15,6.39,16,2.4,6,0,0,0,0,1.12,0,0
205,28.6,101,0,0,-1,-1,-1,38,10.8,0,0,0,0,0.9,315,100,315,3663,26,1.13,4,3.68,13,0.3,1,0,0,1.04,56,177
206,0.2,0,0,0,7388,14775,27,31,22.7,-1,-1,71,400,4.2,566,51,289,2297,22,0,0,10.99,15,0,0,0,0,1.12,100,566
207,12.9,66,5.52,28,50736,1927970,13,172,33.9,0,0,0,0,2.9,1494,0,5,2260,8,0.79,4,0.79,4,0,0,0,0,1.33,100,1494
208,1.7,9,0,0,-1,-1,-1,113,22.1,100,1.12,0,0,1.4,731,96,701,3743,46,1.56,8,12.49,64,0,0,0,0,1.2,97,706
209,20.2,169,0.84,7,6399,31993,16,84,10,50.5,2.02,9,123,1.7,1443,78,1132,1977,16,3.22,27,0.72,6,0.9,11,0.69,10,1.14,68,988
210,10.6,18,4.61,8,71593,1217075,18,71,40.9,100,1.52,100,1500,8.6,1504,0,3,-1,-1,6.92,12,2.31,4,0,0,0,0,1.08,74,1108
211,6.9,38,0,0,7213,21638,36,56,10.2,0,0,0,0,1.6,880,100,880,1883,21,0,0,0.36,2,1.7,15,0.23,2,1.07,0,0
212,9.1,49,8.8,47,33744,2969474,37,199,37.3,0,0,53,265,0.9,499,45,226,1884,48,0,0,0.37,2,0.3,1,0.6,3,1.27,100,499
213,0.6,2,14.86,48,127563,2933951,31,107,33.1,-1,-1,27,165,1.9,602,76,455,1944,50,5.57,18,7.43,24,0,0,1,6,1.14,100,602
215,9.4,28,0,0,829,2487,41,54,17.9,100,0.94,0,0,1.1,328,100,328,3865,35,0.66,2,5.31,16,0,0,0,0,1.09,78,255
216,4.9,10,0.97,2,7168,7168,65,40,19.5,-1,-1,57,206,1.8,362,51,185,3553,37,0.49,1,9.24,19,0,0,0,0,1.02,100,362
217,5.1,21,0,0,-1,-1,-1,69,16.5,0,0,0,0,1.2,507,100,505,3483,37,0.48,2,8.61,36,0.2,1,0,0,1.08,90,455
218,2.4,12,1.36,7,4460,49061,17,83,16.2,0,0,34,362,2.1,1074,64,682,2122,28,0.19,1,1.95,10,0.2,2,0.37,4,1.04,90,963
219,13.6,152,2.85,32,38624,1853932,24,254,22.6,72.9,4.95,29,286,0.9,982,23,227,1884,24,0.18,2,0.27,3,0.3,1,0.1,1,1.16,92,906
220,2.7,12,0.7,3,5633,135202,37,58,13.5,0,0,51,335,1.5,660,100,658,1438,42,0,0,1.4,6,0.8,5,0.45,3,1.11,52,341
221,13.7,58,0.24,1,13050,182698,34,68,16.1,32.26,0.9,55,642,2.8,1176,28,327,2015,22,0.47,2,1.18,5,1,4,0.34,4,1.15,51,594
222,1.5,5,0,0,-1,-1,-1,51,16.4,100,0.74,0,0,2.2,674,92,620,2499,26,1.6,5,4.17,13,0.3,2,0,0,1.11,89,601
223,4,12,0,0,3486,34861,49,50,17.1,0,0,55,367,2.3,667,93,621,1539,51,0,0,3.43,10,1,6,1.65,11,1.22,100,665
224,0,0,1.3,5,12830,64152,26,67,17.4,61.95,2.67,15,158,2.8,1072,44,470,2217,27,0,0,3.89,15,0.2,1,0.19,2,1.12,96,1031
225,20.4,267,0.15,2,3403,17014,15,38,2.9,0,0,0,0,0.4,540,44,237,1762,25,0,0,0.3,4,0.4,1,0.19,1,1.17,0,0
226,0.4,0,0,0,2154,2154,33,24,20.8,0,0,10,48,4.1,476,35,164,1671,59,0.87,1,6.06,7,0,0,0,0,1.11,100,476
227,12.3,73,0,0,5685,11370,28,56,9.4,0,0,0,0,1.4,840,100,840,1705,21,0.51,3,1.35,8,1.7,14,0.83,7,1.04,45,382
228,54.7,454,0.12,1,4341,30389,46,22,2.7,0,0,0,0,0.2,181,100,181,2365,16,0,0,0,0,1.7,3,0,0,1.25,0,0
229,29.3,395,0.07,1,5248,36736,32,105,7.8,0,0,7,63,0.6,861,92,792,2090,19,6.98,94,0.37,5,0.9,8,0.81,7,1.19,16,138
230,17.8,49,1.09,3,13084,104668,22,46,16.8,0,0,0,0,4.4,1233,18,223,1009,49,104.9,288,1.82,5,0,0,0.97,12,1.29,100,1233
231,12,149,0.96,12,21300,170398,12,113,9.1,19.01,0.88,59,652,0.9,1107,49,541,2003,19,0.32,4,0.4,5,0.7,5,0.18,2,1.21,46,507
232,18.6,87,1.71,8,16307,114151,15,69,14.7,-1,-1,75,715,2,952,93,883,1745,16,13.44,63,0.85,4,0.2,2,0.42,4,1.16,46,441
233,5.3,35,3.48,23,43583,1089580,10,121,18.3,28.03,1.62,0,0,1.7,1125,50,557,2567,24,0.15,1,1.81,12,0,0,0.18,2,1.19,85,958
234,29.9,387,0.7,9,14747,781609,33,151,11.7,0,0,0,0,0.7,921,100,921,1831,33,0,0,1.78,23,0.7,6,1.41,13,1.12,51,473
235,2.4,12,0.41,2,8047,24140,28,86,17.5,36.33,0.89,2,14,1.8,905,80,727,2198,47,1.63,8,6.92,34,0.1,1,0.44,4,1.13,77,694
236,7.9,57,1.39,10,116799,817596,19,119,16.6,47.65,1.72,23,102,0.6,451,100,451,4145,21,0,0,3.76,27,0.2,1,0.22,1,1.08,55,247
237,14.8,142,0.1,1,3695,70211,40,91,9.5,0,0,0,0,1.1,1026,91,935,1469,30,7.01,67,0.94,9,1.2,11,0.88,9,1.17,71,731
238,8.3,46,0.36,2,27292,682305,41,85,15.5,-1,-1,46,408,1.6,881,96,842,1441,37,0.18,1,1.82,10,0.8,7,1.14,10,1.16,76,673
240,10.4,41,0.51,2,17543,508742,55,87,22.1,0,0,100,888,2.3,888,64,564,1203,61,0.51,2,5.34,21,0.4,2,0.9,8,1.19,100,888
241,3.4,19,0.18,1,18677,56032,20,100,17.6,81.63,3.2,0,0,1.3,739,85,628,3463,28,0.88,5,7.03,40,0,0,0,0,1.09,55,403
242,18.6,52,0,0,10159,20318,24,31,11.1,100,2.42,0,0,1.8,507,100,507,1981,13,0,0,0,0,2.4,12,0.2,1,1.14,0,0
243,59.2,322,0,0,990,990,31,5,0.9,26.25,0.63,0,0,0.1,46,100,46,1957,47,0.18,1,0,0,0,0,0,0,1.14,4,2
244,27,187,0.14,1,-1,-1,-1,49,7.1,56.72,2.49,0,0,1,694,100,691,1686,26,0,0,1.01,7,1.2,8,0.29,2,1.05,9,60
245,3,5,0,0,4426,66394,42,37,21,-1,-1,0,0,3.7,646,35,223,1628,44,2.27,4,2.27,4,0.5,1,1.7,11,1.18,100,646
246,3.3,9,2.11,6,14640,263513,24,87,30.6,-1,-1,55,668,4.2,1206,12,150,2039,44,0,0,2.46,7,0.9,6,1.33,16,1.2,100,1206
247,21.2,28,3.82,5,37616,489010,28,45,34.4,-1,-1,100,453,3.5,453,3,13,1528,47,0,0,0,0,0,0,1.55,7,1.21,100,453
248,4.1,7,4.95,8,9650,202652,39,44,27.2,100,1.15,72,602,5.2,836,1,8,1056,34,0,0,0.62,1,-1,-1,1.91,16,1.07,100,836
249,0,0,0,0,5188,62250,34,38,29.6,-1,-1,100,531,4.1,531,10,53,1382,47,0,0,0,0,1.9,1,1.32,7,1.05,100,531
250,17.6,57,0.31,1,2714,5428,12,38,11.7,0,0,26,178,2.1,674,47,318,2264,18,0,0,0.92,3,0.9,6,0.15,1,1.02,33,225
251,23.4,70,0.33,1,736,736,15,45,15,0,0,11,75,2.2,672,100,672,2430,13,1.33,4,2,6,0.7,5,0.3,2,1.12,40,269
252,8.1,20,0.41,1,1611,1611,53,27,11,0,0,14,48,1.4,344,100,344,2377,25,0,0,3.26,8,0.6,2,0.58,2,0.98,0,0
253,0,0,8.39,54,200536,4010727,12,122,19,100,2.25,33,285,1.3,866,57,495,2594,22,0,0,3.11,20,0.3,2,0.12,1,1.15,85,732
254,38.8,549,2.69,38,103407,5480567.25,20,259,18.3,68.08,3.37,52,295,0.4,570,8,46,1440,53,0,0,0.21,3,0,0,0.18,1,1.23,99,567
255,5.1,24,2.32,11,19573,78292,17,108,22.8,-1,-1,68,839,2.6,1232,47,582,3206,20,40.91,194,4.64,22,0.2,2,0.08,1,1.05,73,897
256,53.4,2190,0.17,7,5120,46081,43,196,4.8,-1,-1,0,0,0.3,1238,100,1235,3411,19,4.12,169,1.29,53,0.2,3,0.16,2,1.09,0,0
257,3.6,43,0.92,11,19223,461342,8,146,12.3,93.93,2.01,72,1055,1.2,1456,38,556,2282,13,0.84,10,0.25,3,0.1,1,0,0,1.26,0,0
258,13.2,109,0.24,2,5160,61921,43,83,10,0,0,7,73,1.2,1031,100,1030,1511,33,7.14,59,1.57,13,1.1,11,1.84,19,1.13,87,895
259,6.7,28,0,0,5235,94235,45,53,12.9,100,0.25,57,557,2.4,981,60,592,1587,19,0.73,3,1.22,5,1.1,8,2.96,29,1.02,86,842
260,13.1,184,1.07,15,65574,4131155,26,343,24.4,0,0,8,102,0.9,1255,86,1073,1657,33,0.14,2,0.85,12,0.6,6,0.88,11,1.2,99,1241
261,0.1,0,0,0,-1,-1,-1,62,11.4,45.45,2.65,1,9,1.6,860,100,860,1716,36,0,0,4.05,22,0.1,1,0.23,2,1.09,100,860
262,5.6,56,0,0,46880,46880,26,142,14,91.52,3.67,17,208,1.2,1233,84,1039,3643,25,0,0,5.34,54,0.2,2,0.24,3,1.08,33,401
263,2.8,18,0.16,1,13351,26701,21,108,17.1,0,0,22,230,1.7,1062,81,864,2625,29,0.79,5,8.08,51,0,0,0.09,1,1.02,90,953
264,12.1,39,0.31,1,3585,7170,24,56,17.2,19.75,0.63,50,489,3,975,37,360,2691,20,0,0,3.38,11,0,0,0.31,3,1.07,0,0
265,3.3,9,0,0,-1,-1,-1,41,14.8,0,0,24,129,2,547,100,546,2082,22,0,0,1.81,5,0.2,1,0,0,1.04,100,546
266,20.6,385,0.16,3,12054,96432,31,99,5.3,30.21,3.16,25,266,0.6,1057,99,1050,1944,22,1.92,36,0.43,8,0.2,2,0.19,2,1.07,0,0
267,22.2,442,0.25,5,105316,3264794,21,300,15.1,-1,-1,0,0,0.8,1609,100,1609,2114,15,1.76,35,1.06,21,0.1,2,0.12,2,1.11,0,0
268,1.3,3,0,0,2906,2906,12,44,17.1,-1,-1,40,281,2.7,695,89,617,1638,33,0,0,1.17,3,1.3,8,1.15,8,1.08,100,694
269,3,14,0.66,3,22151,243662,16,103,22.5,0,0,45,547,2.6,1205,54,649,2446,30,1.97,9,5.03,23,0.1,1,0.25,3,1.13,99,1198
270,0,0,0,0,34116,307042,34,43,47.8,100,0.57,100,598,6.6,598,0,0,-1,-1,0,0,0,0,-1,-1,2.17,13,1.07,100,598
271,0.3,0,0,0,-1,-1,-1,28,16.5,-1,-1,20,90,2.7,448,100,448,1424,46,0,0,5.32,9,0.7,3,2.9,13,1.18,100,448
272,7.1,37,3.6,19,35830,2042330,25,161,30.5,77.25,4.38,41,320,1.5,780,0,0,-1,-1,0,0,0,0,-1,-1,0.13,1,1.13,100,780
273,26.5,160,0.17,1,4039,12116,24,38,6.3,0,0,0,0,1.2,718,90,646,1964,12,3.64,22,0.5,3,1.7,12,0.14,1,1.07,0,0
274,8,10,3.32,4,38081,380805,22,41,34,83.54,1.37,48,266,4.6,554,0,0,-1,-1,0,0,0,0,-1,-1,0,0,1.26,100,554
275,3.2,12,1.54,6,9985,169743,19,77,19.7,23.99,1.36,43,389,2.3,895,50,445,2783,25,0,0,1.79,7,0.4,2,0.11,1,1.01,10,88
276,12.2,50,1.46,6,17144,102864,48,50,12.2,0,0,0,0,1.6,668,100,668,2155,20,0,0,1.46,6,0.3,2,0.45,3,1.02,0,0
277,31.5,290,0.11,1,2192,2192,39,58,6.3,74.69,1.21,0,0,0.8,740,100,737,2189,14,1.41,13,0.76,7,0.7,5,0.14,1,1.15,0,0
278,14.9,26,0.58,1,11395,79768,17,43,24.8,-1,-1,39,332,4.9,852,18,155,2143,13,0,0,0.58,1,1.9,3,0,0,1.16,0,0
279,0.8,1,0,0,5704,5704,16,38,32.2,0,0,11,92,7.4,870,0,0,-1,-1,0,0,0.85,1,0.8,3,0.11,1,1.16,0,0
280,11.3,103,1.64,15,46631,3404056,29,228,24.9,0,0,0,0,0.4,409,83,340,1559,22,0.11,1,0.98,9,2.5,10,2.44,10,1,43,174
281,10,19,1.6,3,51582,980056,18,77,41.2,-1,-1,100,481,2.6,482,1,5,1487,35,0,0,1.6,3,2.8,8,0.41,2,1.12,0,0
282,20.2,70,0,0,625,625,43,30,8.6,0,0,0,0,1.5,514,100,514,1845,20,2.87,10,1.15,4,1,5,0.78,4,1.07,0,0
283,18.2,79,0.23,1,52976,52976,30,63,14.5,0,0,30,319,2.4,1050,80,842,1625,24,0.23,1,3.45,15,0.8,8,0.86,9,1.09,66,688
284,63.8,607,3.05,29,5846,11692,12,72,7.6,0,0,0,0,0.3,288,100,288,3971,20,2.52,24,2,19,0.3,1,0,0,1.2,0,0
285,13.8,381,2.13,59,97838,17023792,32,897,32.4,77.11,3.1,0,0,0,16,100,16,597,16,0.04,1,0,0,0,0,-1,-1,1.31,94,15
286,26,427,0.06,1,31361,1223072,34,176,10.7,0,0,0,0,0,80,53,42,1499,52,0,0,0.12,2,0,0,0,0,1.25,0,0
287,5.5,84,4.29,66,27822,6844223,27,519,33.7,49.88,2.01,100,1214,0.8,1215,4,50,1539,46,0.06,1,0.06,1,0,0,-1,-1,1.26,100,1215
288,10.8,62,0,0,9953,218968,37,87,15.1,-1,-1,14,140,1.7,995,64,639,2446,33,0.7,4,4.35,25,0.1,1,-1,-1,1.03,86,859
289,23.8,300,1.03,13,53520,695758,9,147,11.7,26.14,1.77,8,108,1,1303,100,1300,2006,15,1.43,18,0.64,8,0.2,2,0.08,1,1.13,17,224
290,7.7,65,7.12,60,17981,4890882,41,313,37.1,-1,-1,4,16,0.5,411,100,410,778,65,0,0,0.71,6,1.4,3,2.92,12,1.25,100,411
291,4.7,7,16.37,24,3032,15159,42,41,28,-1,-1,0,0,6.8,998,16,162,1187,16,0,0,1.36,2,0,0,6.81,68,0.96,100,998
292,22.4,69,1.96,6,15752,488307,48,48,15.7,0,0,21,87,1.3,409,55,223,1036,37,0,0,1.96,6,0,0,3.18,13,1.15,100,409
293,4.7,5,0,0,7366,88387,56,19,17.3,-1,-1,0,0,3.2,354,96,338,1064,70,0,0,8.18,9,0,0,7.06,25,1.37,100,354
294,23.3,87,0.27,1,26171,444909,38,53,14.2,100,1.59,0,0,1.2,431,38,165,1092,63,0,0,0.54,2,0,0,3.71,16,1.07,100,431
295,7.3,8,0.94,1,2894,14470,33,26,24.5,0,0,0,0,4.9,521,50,260,1230,44,0.94,1,4.71,5,1.3,3,2.11,11,1.29,100,521
296,27.4,203,0,0,495,495,8,59,8,-1,-1,1,7,0.8,580,100,578,2802,17,4.18,31,1.48,11,0.3,2,0,0,1.18,0,0
297,0,0,0,0,4313,4313,27,19,18.3,-1,-1,85,128,1.4,150,100,150,3387,31,0,0,10.57,11,0,0,0,0,1.08,92,138
298,0.1,0,12.66,32,23735,1424121,24,148,58.6,92.45,0.49,100,798,3.2,798,0,0,-1,-1,0,0,0.79,2,0,0,-1,-1,1.18,100,798
299,22.5,108,1.67,8,9491,113895,35,80,16.7,60.36,2.01,32,382,2.5,1182,62,728,1652,21,17.11,82,1.46,7,0.7,8,0.34,4,1.1,73,861
300,13.6,64,2.77,13,35187,2463123,25,172,36.6,99.55,2.22,100,576,1.2,576,7,39,2031,35,0,0,0.21,1,0.8,1,-1,-1,1.15,100,576
301,21.2,113,0,0,598,598,3,53,10,60.06,2,0,0,1.5,808,100,808,1993,20,0.38,2,0.75,4,0.6,5,0.12,1,1.05,2,14
302,0,0,0.81,3,2865,8596,33,70,18.8,100,1.79,47,567,3.2,1205,59,705,2546,25,0,0,8.86,33,0.4,3,0.41,5,1.04,95,1147
303,0,0,6.01,12,16464,345746,27,65,32.6,100,1.05,86,775,4.5,898,16,147,2262,35,0,0,3.01,6,0,0,0.22,2,1.26,100,898
304,11,7,4.51,3,26402,132009,22,28,42.1,-1,-1,0,0,5.7,378,2,8,1088,18,0,0,1.5,1,12.5,1,5.29,20,0.94,100,378
305,17.6,53,0.67,2,14589,87535,46,36,12,-1,-1,40,164,1.4,408,60,243,1435,43,0,0,0.67,2,1.7,7,0.98,4,1.16,41,168
306,37,251,6.04,41,48983,1959331,29,106,15.6,0,0,0,0,0.6,412,12,51,1098,63,0.15,1,0,0,0,0,2.67,11,1.17,100,412
307,2.4,12,0.58,3,85455,940003,20,90,17.5,0,0,39,569,2.8,1442,55,796,1580,30,0,0,2.91,15,0.6,5,0.35,5,1.17,100,1440
308,1.9,5,0.83,2,-1,-1,-1,37,15.4,32.68,1.17,68,338,2.1,495,100,495,2205,17,0,0,3.74,9,0,0,0.2,1,1.03,0,0
309,3.4,25,0,0,2870,2870,19,72,9.9,0,0,0,0,0.9,617,87,536,2538,22,0.14,1,2.62,19,0,0,0.16,1,1.05,0,0
310,3.4,14,1.97,8,10483,220146,16,76,18.7,-1,-1,67,551,2,822,84,693,2329,18,0,0,1.48,6,0,0,0.12,1,1.12,0,0
311,8.7,34,0.51,2,6478,97164,55,59,15.2,0.75,0.02,1,4,1.5,573,96,549,1283,62,0.26,1,3.08,12,0.2,1,4.19,24,1.43,100,573
312,3.5,7,0,0,3692,14768,32,35,16.9,-1,-1,85,528,3,622,43,268,1409,47,0,0,0.48,1,1.5,4,4.98,31,1.24,100,622
313,7.7,50,1.08,7,101228,3441745,21,198,30.6,61.24,1.88,0,0,0.9,575,78,449,1585,24,0,0,0.46,3,0.4,2,0.35,2,1.01,99,570
314,1.3,4,1.25,4,2510,25100,52,49,15.4,100,3.59,12,109,2.9,933,45,417,1339,59,1.25,4,3.76,12,0.5,2,2.47,23,1.17,100,933
